city,total_people
Richardson,"64,358"
Richland,305
Richland Hills,"4,923"
Richland Spgs,79
Richland Springs,457
Richmond,"84,620"
Richwood,"2,504"
Ridge,1
Riesel,"1,756"
Ringgold,205
Rio Bravo,"2,415"
Rio Frio,213
Rio Grande City,"18,926"
Rio Grande Cy,1
Rio Hondo,"2,937"
Rio Medina,482
Rio Vista,"1,391"
Rising Star,"1,169"
River Oaks,"3,496"
Riviera,"1,231"
Roanoke,"10,674"
Roans Prairie,2
Roaring Spngs,8
Roaring Springs,207
Robert Lee,"1,226"
Robinson,"7,833"
Robstown,"13,761"
Roby,743
Rochelle,529
Rochester,254
Rock Island,220
Rockdale,"5,190"
Rockland,4
Rockport,"13,619"
Rocksprings,"1,102"
Rockwall,"35,712"
Rockwood,46
Rogers,"1,584"
Rollingwood,59
Roma,"9,102"
Romayor,87
Roosevelt,43
Ropesville,838
Rosanky,757
Roscoe,"1,102"
Rose Hill Acres,1
Rosebud,"1,619"
Rosenberg,"23,557"
Rosharon,"13,088"
Rosser,181
Rosston,89
Rotan,"1,247"
Round Mountain,498
Round Rock,"97,763"
Round Top,904
Rowena,459
Rowlett,"36,959"
Roxton,603
Royalty,7
Royse City,"14,053"
Rule,430
Runaway Bay,"1,305"
Runge,884
Rusk,"5,521"
Rye,228
S Padre Isle,10
Sabinal,"1,508"
Sabine Pass,60
Sachse,"15,813"
Sadler,"1,101"
Sagerton,97
Saginaw,"11,196"
Saint Hedwig,"1,794"
Saint Jo,"1,116"
Salado,"6,022"
Salineno,169
Salt Flat,149
Saltillo,600
San Angelo,"62,139"
San Antonio,"855,131"
San Augustine,"4,282"
San Benito,"23,290"
San Diego,"3,994"
San Elizario,"5,876"
San Felipe,460
San Isidro,198
San Juan,"15,333"
San Leon,"3,175"
San Marcos,"50,085"
San Perlita,429
San Saba,"2,401"
San Ygnacio,525
Sanderson,609
Sandia,"2,628"
Sandy Point,136
Sanford,231
Sanger,"9,797"
Santa Anna,"1,127"
Santa Elena,152
Santa Fe,"13,378"
Santa Maria,623
Santa Monica,2
Santa Rosa,"3,051"
Santo,"1,089"
Saragosa,86
Saratoga,622
Sargent,8
Sarita,222
Satin,49
Savannah,"2,907"
Savoy,"1,256"
Schertz,"25,725"
Schulenburg,"3,457"
Schwertner,18
Scotland,384
Scottsville,1
Scroggins,"1,115"
Scurry,"3,118"
Seabrook,"14,035"
Seadrift,"1,381"
Seagoville,"7,180"
Seagraves,"1,635"
Sealy,"7,887"
Sebastian,"1,751"
Seguin,"30,260"
Selma,"5,730"
Selman City,47
Seminole,"6,877"
Seven Points,1
Seymour,"2,328"
Shady Shores,"2,100"
Shafter,17
Shallowater,"3,813"
Shamrock,"1,756"
Shavano Park,"2,540"
Sheffield,238
Shelbyville,"1,715"
Shenandoah,"1,867"
Shepherd,"4,511"
Sheppard Afb,"1,669"
Sheridan,539
Sherman,"27,888"
Shiner,"3,090"
Shiro,111
Sidney,259
Sierra Blanca,469
Silsbee,"11,083"
Silverton,661
Simms,"1,310"
Simonton,383
Sinton,"5,861"
Sisterdale,54
Skellytown,381
Skidmore,"1,183"
Slaton,"4,418"
Slidell,15
Smiley,574
Smiths Bend,45
Smithville,"6,301"
Smyer,463
Snook,221
